Trap,Latitude,Longitude,Date,Species,WnvPresent,year,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
T049,41.896282,-87.655232,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T050,41.919343,-87.694259,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T051,41.846283,-87.656913,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T085,41.721474,-87.648064,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T086,41.688324,-87.676709,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T086,41.688324,-87.676709,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T088,41.869107,-87.69629300000001,2007-06-26,CULEX PIPIENS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T090,41.868077,-87.666901,2007-06-26,CULEX PIPIENS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T090,41.868077,-87.666901,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T090,41.868077,-87.666901,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T096,41.731922,-87.677512,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T129,41.891126,-87.61156,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T129,41.891126,-87.61156,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T135,41.662014,-87.72460799999999,2007-06-26,CULEX PIPIENS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T135,41.662014,-87.72460799999999,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T135,41.662014,-87.72460799999999,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T141,41.961743,-87.76007,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T141,41.961743,-87.76007,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T142,41.953067,-87.776792,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T143,41.999128999999996,-87.795585,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T143,41.999128999999996,-87.795585,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T145,41.878114000000004,-87.629798,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T146,41.958271,-87.702575,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T147,41.932094,-87.700117,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T148,42.01743,-87.68776899999999,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T148,42.01743,-87.68776899999999,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T150,42.006858,-87.675919,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T151,41.916265,-87.800515,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T151,41.916265,-87.800515,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T158,41.682587,-87.707973,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T158,41.682587,-87.707973,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T161,41.719059,-87.675088,2007-06-26,CULEX PIPIENS/RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T161,41.719059,-87.675088,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T219,41.966986999999996,-87.674677,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T220,41.963976,-87.69181,2007-06-26,CULEX RESTUANS,0,2007,92,70,81,10,69,72.0,0,16,418.0,1931.0,1.0,0.16,29.39,30.11,6.1,22,7.1
T001,41.953705,-87.733974,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T002,41.95469,-87.800991,2007-07-11,CULEX PIPIENS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T002,41.95469,-87.800991,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T002,41.95469,-87.800991,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T003,41.964242,-87.757639,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T004,41.962728000000006,-87.748367,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T006,41.990284,-87.797127,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T006,41.990284,-87.797127,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T007,41.994991,-87.769279,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T008,42.008314,-87.77792099999999,2007-07-11,CULEX PIPIENS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T008,42.008314,-87.77792099999999,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T008,42.008314,-87.77792099999999,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T009,41.981964000000005,-87.812827,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T009,41.981964000000005,-87.812827,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T011,41.944869,-87.832763,2007-07-11,CULEX PIPIENS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T011,41.944869,-87.832763,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T011,41.944869,-87.832763,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T013,41.923738,-87.785288,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T013,41.923738,-87.785288,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T014,41.970248,-87.787992,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T014,41.970248,-87.787992,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T015,41.974089,-87.824812,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T015,41.974089,-87.824812,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T016,42.011601,-87.81150600000001,2007-07-11,CULEX PIPIENS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T016,42.011601,-87.81150600000001,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T016,42.011601,-87.81150600000001,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T019,41.94983,-87.69845699999999,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T025,41.979243,-87.750938,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T025,41.979243,-87.750938,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T028,41.986921,-87.689778,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T028,41.986921,-87.689778,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T030,41.899229999999996,-87.716788,2007-07-11,CULEX PIPIENS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T030,41.899229999999996,-87.716788,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T030,41.899229999999996,-87.716788,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T031,41.801497999999995,-87.763416,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T033,41.906638,-87.701431,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T035,41.836644,-87.677737,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T036,41.837084999999995,-87.729384,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T037,41.921177,-87.79518,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T039,41.911823999999996,-87.726737,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T043,41.857402,-87.694991,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T043,41.857402,-87.694991,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T045,41.9216,-87.666455,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T045,41.9216,-87.666455,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T046,41.891118,-87.65449100000001,2007-07-11,CULEX PIPIENS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T046,41.891118,-87.65449100000001,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T046,41.891118,-87.65449100000001,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T047,41.868142,-87.696269,2007-07-11,CULEX PIPIENS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T047,41.868142,-87.696269,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T048,41.867108,-87.654224,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T048,41.867108,-87.654224,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T049,41.896282,-87.655232,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T049,41.896282,-87.655232,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T054,41.921965,-87.632085,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T054,41.921965,-87.632085,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T060,41.823065,-87.67837800000001,2007-07-11,CULEX PIPIENS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T060,41.823065,-87.67837800000001,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T061,41.801179,-87.679447,2007-07-11,CULEX PIPIENS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T061,41.801179,-87.679447,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T062,41.800737,-87.71188000000001,2007-07-11,CULEX PIPIENS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T065,41.778296999999995,-87.752411,2007-07-11,CULEX PIPIENS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T065,41.778296999999995,-87.752411,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T065,41.778296999999995,-87.752411,2007-07-11,CULEX TERRITANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T066,41.77166,-87.703047,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T067,41.759346,-87.745602,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T069,41.768388,-87.678649,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T069,41.768388,-87.678649,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T070,41.797616,-87.797894,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T071,41.781416,-87.77653199999999,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T073,41.773215,-87.60088,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T073,41.773215,-87.60088,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T074,41.822536,-87.66634300000001,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T075,41.799282,-87.585487,2007-07-11,CULEX SALINARIUS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T076,41.794781,-87.615989,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T077,41.778748,-87.586427,2007-07-11,CULEX RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
T079,41.766202,-87.562889,2007-07-11,CULEX PIPIENS/RESTUANS,0,2007,77,62,70,-3,51,59.0,0,5,426.0,1928.0,0.0,0.0,29.23,29.93,8.8,30,10.9
